Nom	Type	Description	RA	DEC	Mag	GrandeurWidth	GrandeurHeight	Constellation	Catalogue
M 1	Rémanent de supernova	Nébuleuse du Crabe	5.57552777777778	22.0144444444444	8,4	0,13	0,07	Le Taureau	Messier
M 2	Amas d’étoiles globulaire	NGC 7089	21.5575555555556	0.822777777777778	6,6	0,27	0,27	Le Verseau	Messier
M 3	Amas d’étoiles globulaire	NGC 5272	13.7031111111111	28.3761111111111	6,3	0,3	0,3	Les Chiens de Chasse	Messier
M 4	Amas d’étoiles globulaire	Amas globulaire du Crabe	16.3931944444444	-26.5247222222222	5,4	0,43	0,43	Le Scorpion	Messier
M 5	Amas d’étoiles globulaire	Amas de la Rose – NGC 5904	15.3093888888889	2.08333333333333	5,7	0,38	0,38	Le Serpent	Messier
M 6	Amas d’étoiles ouvert	Amas du Papillon – NGC 6405	17.6722222222222	-32.2583333333333	4,2	0,42	0,42	Le Scorpion	Messier
M 7	Amas d’étoiles ouvert	Amas de Ptolémé – NGC 6475	17.8972222222222	-34.7933333333333	3,3	1,33	1,33	Le Scorpion	Messier
M 8	Région HII	Nébuleuse du Lagon	18.0616666666667	-24.38	6	1,5	0,67	Le Sagittaire	Messier
M 9	Amas d’étoiles globulaire	NGC 6333	17.3199444444444	-18.5158333333333	7,8	0,2	0,2	Ophiuchus	Messier
M 10	Amas d’étoiles globulaire	NGC 6254	16.9524722222222	-4.09888888888889	6,6	0,33	0,33	Ophiuchus	Messier
M 11	Amas d’étoiles ouvert	Amas du Canard Sauvage – NGC 6705	18.8513888888889	-6.27	5,8	0,23	0,23	L’Ecu de Sobieski	Messier
M 12	Amas d’étoiles globulaire	NGC 6218	16.7873611111111	-1.94722222222222	6,1	0,27	0,27	Ophiuchus	Messier
M 13	Amas d’étoiles globulaire	Amas globulaire d’Hercules – NGC 6205	16.6948611111111	36.4608333333333	5,8	0,33	0,13	Hercule	Messier
M 14	Amas d’étoiles globulaire	NGC 6402	17.6266944444444	-3.24527777777778	7,6	0,18	0,18	Ophiuchus	Messier
M 15	Amas d’étoiles globulaire	Amas de Pégase – NGC 7078	21.4995277777778	12.1675	6,3	0,3	0,3	Pégase	Messier
M 16	Amas associé à une nébulosité	Nébuleuse de l’Aigle – NGC 6611	18.3125	-13.7983333333333	6	2	0,42	Le Serpent	Messier
M 17	Amas associé à une nébulosité	Nébuleuse du Cygne (Nébuleuse Oméga) – NGC 6618	18.3463888888889	-16.1716666666667	6	0,67	0,5	Le Sagittaire	Messier
M 18	Amas d’étoiles ouvert	Amas du Cygne Noir – NGC 6613	18.3327777777778	-17.1016666666667	6,9	0,12	0,12	Le Sagittaire	Messier
M 19	Amas d’étoiles globulaire	NGC 6273	17.0438055555556	-26.2675	6,8	0,28	0,28	Ophiuchus	Messier
M 20	Amas associé à une nébulosité	Nébuleuse de Trifid – NGC 6514	18.045	-22.9716666666667	8,5	0,33	0,33	Le Sagittaire	Messier
M 21	Amas d’étoiles ouvert	Croix de Webb – NGC 6531	18.0703611111111	-22.5	5,9	0,27	0,27	Le Sagittaire	Messier
M 22	Amas d’étoiles globulaire	Grand Amas du Sagittaire – NGC 6656	18.6067222222222	-23.9027777777778	5,1	0,53	0,53	Le Sagittaire	Messier
M 23	Amas d’étoiles ouvert	NGC 6494	17.9488888888889	-19.0116666666667	5,5	0,42	0,42	Le Sagittaire	Messier
M 24	Amas d’étoiles	Petit nuage d’étoiles du Sagittaire – IC 4715	18.3133333333333	-18.55	4,6	1,5	1	Le Sagittaire	Messier
M 25	Amas d’étoiles ouvert	IC 4725	18.5291666666667	-19.12	4,6	0,43	0,43	Le Sagittaire	Messier
M 26	Amas d’étoiles ouvert	NGC 6694	18.7541666666667	-9.385	8	0,17	0,17	L’Ecu de Sobieski	Messier
M 27	Nébuleuse planétaire	Nébuleuse de Dumbbell – NGC 6853	19.9934166666667	22.7216666666667	7,4	0,13	0,09	Le Petit Renard	Messier
M 28	Amas d’étoiles ouvert	NGC 6626	18.4091388888889	-24.8694444444444	7,66	0,19	0,19	Le Sagittaire	Messier
M 29	Amas d’étoiles ouvert	Tour de refroidissement – NGC 6913	20.4016666666667	38.4933333333333	6,6	0,17	0,17	Le Cygne	Messier
M 30	Amas d’étoiles globulaire	Amas de la Méduse – NGC 7099	21.6727777777778	-23.1786111111111	7,7	0,2	0,2	Le Capricorne	Messier
M 31	Galaxie	Galaxie d’Andromède – NGC 224	0.712305555555556	41.2688888888889	3,44	3,15	1,03	Andromède	Messier
M 32	Galaxie	NGC 221	0.711611111111111	40.8658333333333	8,08	0,14	0,11	Andromède	Messier
M 33	Galaxie	Galaxie du Triangle – NGC 598	1.56441666666667	30.6580555555556	5,72	1,15	0,69	Le Triangle	Messier
M 34	Amas d’étoiles ouvert	Amas spirale – NGC 1039	2.70138888888889	42.7616666666667	5,2	0,42	0,42	Persée	Messier
M 35	Amas d’étoiles ouvert	Shoe-Buckle Cluster – NGC 2168	6.15	24.35	5,1	0,42	0,42	Les Gémeaux	Messier
M 36	Amas d’étoiles ouvert	Amas du Moulinet – NGC 1960	5.60491666666667	34.1408333333333	6	0,17	0,17	Le Cocher	Messier
M 37	Amas d’étoiles ouvert	Amas Sel-et-Poivre de Janvier – NGC 2099	5.87175	32.5530555555556	5,6	0,25	0,25	Le Cocher	Messier
M 38	Amas d’étoiles ouvert	Amas de l’Etoile de mer – NGC 1912	5.47861111111111	35.855	6,4	0,25	0,25	Le Cocher	Messier
M 39	Amas d’étoiles ouvert	NGC 7092	21.5311111111111	48.425	4,6	0,52	0,52	Le Cygne	Messier
M 40	Etoile	Winnecke 4	12,37	58,08	9,65	0	0	La Grande Ours	Messier
